#meta,32648,703
#tesla,48403,4340
#amc,50247,1201
#mullen,144,2
#microsoft,28372,486
#SPDR,15,0
#disney,46645,1198
#metamaterials,134,3
#apple,53121,1470
#netflix,121087,2693
#gamestop,1991,37
#nvidia,7119,188
#amazon,270113,8571
#c3ai,96,4
#bedbathandbeyond,201,2
#invesco,10,0
#google,67765,1345
#lyft,1209,11
#dteenergy,3,0
